region,Block3Day,Diatoms,Nemcek-NAN,N
Strait of Georgia North,2015-111,,,
Strait of Georgia North,2015-112,,,
Strait of Georgia North,2015-113,,,
Strait of Georgia North,2015-114,,,
Strait of Georgia North,2015-115,,,
Strait of Georgia North,2015-116,,,
Strait of Georgia North,2015-117,,,
Strait of Georgia North,2015-118,,,
Strait of Georgia North,2015-119,,,
Strait of Georgia North,2015-120,,,
Strait of Georgia North,2015-121,,,
Strait of Georgia North,2015-122,,,
Strait of Georgia North,2016-001,,,
Strait of Georgia North,2016-002,,,
Strait of Georgia North,2016-003,,,
Strait of Georgia North,2016-004,,,
Strait of Georgia North,2016-005,,,
Strait of Georgia North,2016-006,,,
Strait of Georgia North,2016-007,,,
Strait of Georgia North,2016-008,,,
Strait of Georgia North,2016-009,,,
Strait of Georgia North,2016-010,,,
Strait of Georgia North,2016-011,,,
Strait of Georgia North,2016-012,,,
Strait of Georgia North,2016-013,,,
Strait of Georgia North,2016-014,,,
Strait of Georgia North,2016-015,,,
Strait of Georgia North,2016-016,,,
Strait of Georgia North,2016-017,,,
Strait of Georgia North,2016-018,,,
Strait of Georgia North,2016-019,,,
Strait of Georgia North,2016-020,,,
Strait of Georgia North,2016-021,,,
Strait of Georgia North,2016-022,,,
Strait of Georgia North,2016-023,,,
Strait of Georgia North,2016-024,,,
Strait of Georgia North,2016-025,,,
Strait of Georgia North,2016-026,,,
Strait of Georgia North,2016-027,,,
Strait of Georgia North,2016-028,,,
Strait of Georgia North,2016-029,,,
Strait of Georgia North,2016-030,,,
Strait of Georgia North,2016-031,,,
Strait of Georgia North,2016-032,,,
Strait of Georgia North,2016-033,,,
Strait of Georgia North,2016-034,,,
Strait of Georgia North,2016-035,,,
Strait of Georgia North,2016-036,,,
Strait of Georgia North,2016-037,,,
Strait of Georgia North,2016-038,,,
Strait of Georgia North,2016-039,2.437,0.408,6
Strait of Georgia North,2016-040,,,
Strait of Georgia North,2016-041,,,
Strait of Georgia North,2016-042,,,
Strait of Georgia North,2016-043,,,
Strait of Georgia North,2016-044,,,
Strait of Georgia North,2016-045,,,
Strait of Georgia North,2016-046,,,
Strait of Georgia North,2016-047,,,
Strait of Georgia North,2016-048,,,
Strait of Georgia North,2016-049,,,
Strait of Georgia North,2016-050,,,
Strait of Georgia North,2016-051,,,
Strait of Georgia North,2016-052,0.713,0.49,3
Strait of Georgia North,2016-053,,,
Strait of Georgia North,2016-054,,,
Strait of Georgia North,2016-055,,,
Strait of Georgia North,2016-056,,,
Strait of Georgia North,2016-057,0.583,2.213,7
Strait of Georgia North,2016-058,,,
Strait of Georgia North,2016-059,,,
Strait of Georgia North,2016-060,,,
Strait of Georgia North,2016-061,,,
Strait of Georgia North,2016-062,,,
Strait of Georgia North,2016-063,,,
Strait of Georgia North,2016-064,,,
Strait of Georgia North,2016-065,,,
Strait of Georgia North,2016-066,,,
Strait of Georgia North,2016-067,,,
Strait of Georgia North,2016-068,,,
Strait of Georgia North,2016-069,,,
Strait of Georgia North,2016-070,,,
Strait of Georgia North,2016-071,,,
Strait of Georgia North,2016-072,,,
Strait of Georgia North,2016-073,,,
Strait of Georgia North,2016-074,,,
Strait of Georgia North,2016-075,,,
Strait of Georgia North,2016-076,,,
Strait of Georgia North,2016-077,,,
Strait of Georgia North,2016-078,,,
Strait of Georgia North,2016-079,,,
Strait of Georgia North,2016-080,,,
Strait of Georgia North,2016-081,,,
Strait of Georgia North,2016-082,,,
Strait of Georgia North,2016-083,,,
Strait of Georgia North,2016-084,,,
Strait of Georgia North,2016-085,0.287,2.093,3
Strait of Georgia North,2016-086,,,
Strait of Georgia North,2016-087,,,
Strait of Georgia North,2016-088,,,
Strait of Georgia North,2016-089,0.205,2.04,2
Strait of Georgia North,2016-090,2.09,2.548,4
Strait of Georgia North,2016-091,,,
Strait of Georgia North,2016-092,,,
Strait of Georgia North,2016-093,,,
Strait of Georgia North,2016-094,,,
Strait of Georgia North,2016-095,,,
Strait of Georgia North,2016-096,,,
Strait of Georgia North,2016-097,,,
Strait of Georgia North,2016-098,,,
Strait of Georgia North,2016-099,,,
Strait of Georgia North,2016-100,,,
Strait of Georgia North,2016-101,,,
Strait of Georgia North,2016-102,,,
Strait of Georgia North,2016-103,0.094,0.232,5
Strait of Georgia North,2016-104,,,
Strait of Georgia North,2016-105,,,
Strait of Georgia North,2016-106,,,
Strait of Georgia North,2016-107,,,
Strait of Georgia North,2016-108,,,
Strait of Georgia North,2016-109,,,
Strait of Georgia North,2016-110,,,
Strait of Georgia North,2016-111,,,
Strait of Georgia North,2016-112,,,
Strait of Georgia North,2016-113,,,
Strait of Georgia North,2016-114,,,
Strait of Georgia North,2016-115,,,
Strait of Georgia North,2016-116,,,
Strait of Georgia North,2016-117,,,
Strait of Georgia North,2016-118,,,
Strait of Georgia North,2016-119,,,
Strait of Georgia North,2016-120,,,
Strait of Georgia North,2016-121,,,
Strait of Georgia North,2016-122,,,
Strait of Georgia North,2017-001,,,
Strait of Georgia North,2017-002,,,
Strait of Georgia North,2017-003,,,
Strait of Georgia North,2017-004,,,
Strait of Georgia North,2017-005,,,
Strait of Georgia North,2017-006,,,
Strait of Georgia North,2017-007,,,
Strait of Georgia North,2017-008,,,
Strait of Georgia North,2017-009,,,
Strait of Georgia North,2017-010,,,
Strait of Georgia North,2017-011,,,
Strait of Georgia North,2017-012,,,
Strait of Georgia North,2017-013,,,
Strait of Georgia North,2017-014,,,
Strait of Georgia North,2017-015,,,
Strait of Georgia North,2017-016,,,
Strait of Georgia North,2017-017,0.308,0.395,4
Strait of Georgia North,2017-018,,,
Strait of Georgia North,2017-019,,,
Strait of Georgia North,2017-020,,,
Strait of Georgia North,2017-021,,,
Strait of Georgia North,2017-022,,,
Strait of Georgia North,2017-023,,,
Strait of Georgia North,2017-024,,,
Strait of Georgia North,2017-025,,,
Strait of Georgia North,2017-026,,,
Strait of Georgia North,2017-027,,,
Strait of Georgia North,2017-028,,,
Strait of Georgia North,2017-029,,,
Strait of Georgia North,2017-030,,,
Strait of Georgia North,2017-031,,,
Strait of Georgia North,2017-032,,,
Strait of Georgia North,2017-033,,,
Strait of Georgia North,2017-034,8.61,0.564,5
Strait of Georgia North,2017-035,0.26,0.15,1
Strait of Georgia North,2017-036,,,
Strait of Georgia North,2017-037,,,
Strait of Georgia North,2017-038,,,
Strait of Georgia North,2017-039,,,
Strait of Georgia North,2017-040,,,
Strait of Georgia North,2017-041,,,
Strait of Georgia North,2017-042,,,
Strait of Georgia North,2017-043,,,
Strait of Georgia North,2017-044,,,
Strait of Georgia North,2017-045,,,
Strait of Georgia North,2017-046,,,
Strait of Georgia North,2017-047,,,
Strait of Georgia North,2017-048,,,
Strait of Georgia North,2017-049,,,
Strait of Georgia North,2017-050,,,
Strait of Georgia North,2017-051,8.97,1.71,1
Strait of Georgia North,2017-052,8.62,1.05,2
Strait of Georgia North,2017-053,,,
Strait of Georgia North,2017-054,,,
Strait of Georgia North,2017-055,,,
Strait of Georgia North,2017-056,,,
Strait of Georgia North,2017-057,,,
Strait of Georgia North,2017-058,,,
Strait of Georgia North,2017-059,0.257,1.207,6
Strait of Georgia North,2017-060,,,
Strait of Georgia North,2017-061,,,
Strait of Georgia North,2017-062,,,
Strait of Georgia North,2017-063,,,
Strait of Georgia North,2017-064,,,
Strait of Georgia North,2017-065,,,
Strait of Georgia North,2017-066,,,
Strait of Georgia North,2017-067,,,
Strait of Georgia North,2017-068,,,
Strait of Georgia North,2017-069,,,
Strait of Georgia North,2017-070,,,
Strait of Georgia North,2017-071,,,
Strait of Georgia North,2017-072,,,
Strait of Georgia North,2017-073,,,
Strait of Georgia North,2017-074,,,
Strait of Georgia North,2017-075,,,
Strait of Georgia North,2017-076,,,
Strait of Georgia North,2017-077,,,
Strait of Georgia North,2017-078,,,
Strait of Georgia North,2017-079,,,
Strait of Georgia North,2017-080,,,
Strait of Georgia North,2017-081,,,
Strait of Georgia North,2017-082,,,
Strait of Georgia North,2017-083,,,
Strait of Georgia North,2017-084,,,
Strait of Georgia North,2017-085,0.462,0.92,4
Strait of Georgia North,2017-086,,,
Strait of Georgia North,2017-087,,,
Strait of Georgia North,2017-088,,,
Strait of Georgia North,2017-089,,,
Strait of Georgia North,2017-090,,,
Strait of Georgia North,2017-091,,,
Strait of Georgia North,2017-092,,,
Strait of Georgia North,2017-093,,,
Strait of Georgia North,2017-094,0.895,0.608,6
Strait of Georgia North,2017-095,,,
Strait of Georgia North,2017-096,,,
Strait of Georgia North,2017-097,,,
Strait of Georgia North,2017-098,,,
Strait of Georgia North,2017-099,,,
Strait of Georgia North,2017-100,,,
Strait of Georgia North,2017-101,,,
Strait of Georgia North,2017-102,,,
Strait of Georgia North,2017-103,,,
Strait of Georgia North,2017-104,,,
Strait of Georgia North,2017-105,,,
Strait of Georgia North,2017-106,,,
Strait of Georgia North,2017-107,,,
Strait of Georgia North,2017-108,,,
Strait of Georgia North,2017-109,,,
Strait of Georgia North,2017-110,,,
Strait of Georgia North,2017-111,,,
Strait of Georgia North,2017-112,,,
Strait of Georgia North,2017-113,,,
Strait of Georgia North,2017-114,,,
Strait of Georgia North,2017-115,,,
Strait of Georgia North,2017-116,,,
Strait of Georgia North,2017-117,,,
Strait of Georgia North,2017-118,,,
Strait of Georgia North,2017-119,,,
Strait of Georgia North,2017-120,,,
Strait of Georgia North,2017-121,,,
Strait of Georgia North,2017-122,,,
Strait of Georgia North,2018-001,,,
Strait of Georgia North,2018-002,,,
Strait of Georgia North,2018-003,,,
Strait of Georgia North,2018-004,,,
Strait of Georgia North,2018-005,,,
Strait of Georgia North,2018-006,,,
Strait of Georgia North,2018-007,,,
Strait of Georgia North,2018-008,,,
Strait of Georgia North,2018-009,,,
Strait of Georgia North,2018-010,,,
Strait of Georgia North,2018-011,,,
Strait of Georgia North,2018-012,0.146,0.511,7
Strait of Georgia North,2018-013,,,
Strait of Georgia North,2018-014,,,
Strait of Georgia North,2018-015,,,
Strait of Georgia North,2018-016,,,
Strait of Georgia North,2018-017,,,
Strait of Georgia North,2018-018,,,
Strait of Georgia North,2018-019,,,
Strait of Georgia North,2018-020,,,
Strait of Georgia North,2018-021,1.02,1.1,3
Strait of Georgia North,2018-022,0.99,1.06,1
Strait of Georgia North,2018-023,,,
Strait of Georgia North,2018-024,,,
Strait of Georgia North,2018-025,,,
Strait of Georgia North,2018-026,,,
Strait of Georgia North,2018-027,,,
Strait of Georgia North,2018-028,,,
Strait of Georgia North,2018-029,,,
Strait of Georgia North,2018-030,,,
Strait of Georgia North,2018-031,,,
Strait of Georgia North,2018-032,,,
Strait of Georgia North,2018-033,7.01,0.33,2
Strait of Georgia North,2018-034,6.242,0.462,5
Strait of Georgia North,2018-035,,,
Strait of Georgia North,2018-036,,,
Strait of Georgia North,2018-037,,,
Strait of Georgia North,2018-038,,,
Strait of Georgia North,2018-039,,,
Strait of Georgia North,2018-040,7.065,2.068,4
Strait of Georgia North,2018-041,,,
Strait of Georgia North,2018-042,,,
Strait of Georgia North,2018-043,,,
Strait of Georgia North,2018-044,,,
Strait of Georgia North,2018-045,,,
Strait of Georgia North,2018-046,1.47,0.555,4
Strait of Georgia North,2018-047,,,
Strait of Georgia North,2018-048,,,
Strait of Georgia North,2018-049,,,
Strait of Georgia North,2018-050,0.675,0.805,4
Strait of Georgia North,2018-051,,,
Strait of Georgia North,2018-052,,,
Strait of Georgia North,2018-053,,,
Strait of Georgia North,2018-054,,,
Strait of Georgia North,2018-055,,,
Strait of Georgia North,2018-056,0.132,1.385,6
Strait of Georgia North,2018-057,,,
Strait of Georgia North,2018-058,,,
Strait of Georgia North,2018-059,,,
Strait of Georgia North,2018-060,,,
Strait of Georgia North,2018-061,,,
Strait of Georgia North,2018-062,,,
Strait of Georgia North,2018-063,,,
Strait of Georgia North,2018-064,,,
Strait of Georgia North,2018-065,,,
Strait of Georgia North,2018-066,,,
Strait of Georgia North,2018-067,1.13,2.218,5
Strait of Georgia North,2018-068,,,
Strait of Georgia North,2018-069,,,
Strait of Georgia North,2018-070,,,
Strait of Georgia North,2018-071,,,
Strait of Georgia North,2018-072,,,
Strait of Georgia North,2018-073,,,
Strait of Georgia North,2018-074,,,
Strait of Georgia North,2018-075,,,
Strait of Georgia North,2018-076,,,
Strait of Georgia North,2018-077,,,
Strait of Georgia North,2018-078,,,
Strait of Georgia North,2018-079,,,
Strait of Georgia North,2018-080,,,
Strait of Georgia North,2018-081,,,
Strait of Georgia North,2018-082,,,
Strait of Georgia North,2018-083,,,
Strait of Georgia North,2018-084,1.323,0.823,3
Strait of Georgia North,2018-085,0.15,0.19,1
Strait of Georgia North,2018-086,,,
Strait of Georgia North,2018-087,,,
Strait of Georgia North,2018-088,,,
Strait of Georgia North,2018-089,,,
Strait of Georgia North,2018-090,,,
Strait of Georgia North,2018-091,1.76,1.252,4
Strait of Georgia North,2018-092,4.785,1.553,4
Strait of Georgia North,2018-093,,,
Strait of Georgia North,2018-094,,,
Strait of Georgia North,2018-095,,,
Strait of Georgia North,2018-096,,,
Strait of Georgia North,2018-097,,,
Strait of Georgia North,2018-098,,,
Strait of Georgia North,2018-099,,,
Strait of Georgia North,2018-100,,,
Strait of Georgia North,2018-101,,,
Strait of Georgia North,2018-102,,,
Strait of Georgia North,2018-103,,,
Strait of Georgia North,2018-104,,,
Strait of Georgia North,2018-105,,,
Strait of Georgia North,2018-106,,,
Strait of Georgia North,2018-107,,,
Strait of Georgia North,2018-108,,,
Strait of Georgia North,2018-109,,,
Strait of Georgia North,2018-110,0.126,0.204,5
Strait of Georgia North,2018-111,,,
Strait of Georgia North,2018-112,,,
Strait of Georgia North,2018-113,,,
Strait of Georgia North,2018-114,,,
Strait of Georgia North,2018-115,,,
Strait of Georgia North,2018-116,,,
Strait of Georgia North,2018-117,,,
Strait of Georgia North,2018-118,,,
Strait of Georgia North,2018-119,,,
Strait of Georgia North,2018-120,,,
Strait of Georgia North,2018-121,,,
Strait of Georgia North,2018-122,,,
Strait of Georgia North,2019-001,,,
Strait of Georgia North,2019-002,,,
Strait of Georgia North,2019-003,,,
Strait of Georgia North,2019-004,,,
Strait of Georgia North,2019-005,,,
Strait of Georgia North,2019-006,,,
Strait of Georgia North,2019-007,,,
Strait of Georgia North,2019-008,,,
Strait of Georgia North,2019-009,,,
Strait of Georgia North,2019-010,,,
Strait of Georgia North,2019-011,,,
Strait of Georgia North,2019-012,,,
Strait of Georgia North,2019-013,,,
Strait of Georgia North,2019-014,,,
Strait of Georgia North,2019-015,,,
Strait of Georgia North,2019-016,,,
Strait of Georgia North,2019-017,0.3,0.56,2
Strait of Georgia North,2019-018,0.22,0.65,1
Strait of Georgia North,2019-019,,,
Strait of Georgia North,2019-020,,,
Strait of Georgia North,2019-021,,,
Strait of Georgia North,2019-022,1.658,0.915,4
Strait of Georgia North,2019-023,,,
Strait of Georgia North,2019-024,,,
Strait of Georgia North,2019-025,,,
Strait of Georgia North,2019-026,,,
Strait of Georgia North,2019-027,,,
Strait of Georgia North,2019-028,,,
Strait of Georgia North,2019-029,,,
Strait of Georgia North,2019-030,,,
Strait of Georgia North,2019-031,,,
Strait of Georgia North,2019-032,,,
Strait of Georgia North,2019-033,0.257,0.518,6
Strait of Georgia North,2019-034,,,
Strait of Georgia North,2019-035,,,
Strait of Georgia North,2019-036,,,
Strait of Georgia North,2019-037,,,
Strait of Georgia North,2019-038,,,
Strait of Georgia North,2019-039,,,
Strait of Georgia North,2019-040,,,
Strait of Georgia North,2019-041,0.485,1.632,4
Strait of Georgia North,2019-042,,,
Strait of Georgia North,2019-043,,,
Strait of Georgia North,2019-044,,,
Strait of Georgia North,2019-045,,,
Strait of Georgia North,2019-046,,,
Strait of Georgia North,2019-047,,,
Strait of Georgia North,2019-048,0,1.31,2
Strait of Georgia North,2019-049,,,
Strait of Georgia North,2019-050,,,
Strait of Georgia North,2019-051,,,
Strait of Georgia North,2019-052,,,
Strait of Georgia North,2019-053,0.081,1.297,7
Strait of Georgia North,2019-054,,,
Strait of Georgia North,2019-055,,,
Strait of Georgia North,2019-056,,,
Strait of Georgia North,2019-057,,,
Strait of Georgia North,2019-058,,,
Strait of Georgia North,2019-059,,,
Strait of Georgia North,2019-060,,,
Strait of Georgia North,2019-061,,,
Strait of Georgia North,2019-062,0.55,0.592,4
Strait of Georgia North,2019-063,,,
Strait of Georgia North,2019-064,,,
Strait of Georgia North,2019-065,,,
Strait of Georgia North,2019-066,,,
Strait of Georgia North,2019-067,,,
Strait of Georgia North,2019-068,,,
Strait of Georgia North,2019-069,,,
Strait of Georgia North,2019-070,,,
Strait of Georgia North,2019-071,,,
Strait of Georgia North,2019-072,,,
Strait of Georgia North,2019-073,,,
Strait of Georgia North,2019-074,,,
Strait of Georgia North,2019-075,,,
Strait of Georgia North,2019-076,,,
Strait of Georgia North,2019-077,,,
Strait of Georgia North,2019-078,,,
Strait of Georgia North,2019-079,,,
Strait of Georgia North,2019-080,,,
Strait of Georgia North,2019-081,,,
Strait of Georgia North,2019-082,,,
Strait of Georgia North,2019-083,,,
Strait of Georgia North,2019-084,0.06,1.727,3
Strait of Georgia North,2019-085,,,
Strait of Georgia North,2019-086,,,
Strait of Georgia North,2019-087,,,
Strait of Georgia North,2019-088,,,
Strait of Georgia North,2019-089,,,
Strait of Georgia North,2019-090,,,
Strait of Georgia North,2019-091,,,
Strait of Georgia North,2019-092,,,
Strait of Georgia North,2019-093,0.907,1.1,7
Strait of Georgia North,2019-094,,,
Strait of Georgia North,2019-095,,,
Strait of Georgia North,2019-096,,,
Strait of Georgia North,2019-097,,,
Strait of Georgia North,2019-098,,,
Strait of Georgia North,2019-099,,,
Strait of Georgia North,2019-100,,,
Strait of Georgia North,2019-101,,,
Strait of Georgia North,2019-102,,,
Strait of Georgia North,2019-103,,,
Strait of Georgia North,2019-104,,,
Strait of Georgia North,2019-105,,,
Strait of Georgia North,2019-106,,,
Strait of Georgia North,2019-107,,,
Strait of Georgia North,2019-108,,,
Strait of Georgia North,2019-109,,,
Strait of Georgia North,2019-110,,,
Strait of Georgia North,2019-111,,,
Strait of Georgia North,2019-112,,,
Strait of Georgia North,2019-113,,,
Strait of Georgia North,2019-114,,,
Strait of Georgia North,2019-115,,,
Strait of Georgia North,2019-116,,,
Strait of Georgia North,2019-117,,,
Strait of Georgia North,2019-118,,,
Strait of Georgia North,2019-119,,,
Strait of Georgia North,2019-120,,,
Strait of Georgia North,2019-121,,,
Strait of Georgia North,2019-122,,,
Strait of Georgia South,2015-001,,,
Strait of Georgia South,2015-002,,,
Strait of Georgia South,2015-003,,,
Strait of Georgia South,2015-004,,,
Strait of Georgia South,2015-005,,,
Strait of Georgia South,2015-006,,,
Strait of Georgia South,2015-007,,,
Strait of Georgia South,2015-008,,,
Strait of Georgia South,2015-009,,,
Strait of Georgia South,2015-010,,,
Strait of Georgia South,2015-011,,,
Strait of Georgia South,2015-012,,,
Strait of Georgia South,2015-013,,,
Strait of Georgia South,2015-014,,,
Strait of Georgia South,2015-015,,,
Strait of Georgia South,2015-016,,,
Strait of Georgia South,2015-017,,,
Strait of Georgia South,2015-018,,,
Strait of Georgia South,2015-019,,,
Strait of Georgia South,2015-020,,,
Strait of Georgia South,2015-021,,,
Strait of Georgia South,2015-022,,,
Strait of Georgia South,2015-023,,,
Strait of Georgia South,2015-024,,,
Strait of Georgia South,2015-025,,,
Strait of Georgia South,2015-026,,,
Strait of Georgia South,2015-027,,,
Strait of Georgia South,2015-028,,,
Strait of Georgia South,2015-029,,,
Strait of Georgia South,2015-030,,,
Strait of Georgia South,2015-031,25.76,0.4,1
Strait of Georgia South,2015-032,6.357,0.59,6
Strait of Georgia South,2015-033,10.67,0.48,1
Strait of Georgia South,2015-034,,,
Strait of Georgia South,2015-035,,,
Strait of Georgia South,2015-036,,,
Strait of Georgia South,2015-037,,,
Strait of Georgia South,2015-038,,,
Strait of Georgia South,2015-039,,,
Strait of Georgia South,2015-040,,,
Strait of Georgia South,2015-041,,,
Strait of Georgia South,2015-042,,,
Strait of Georgia South,2015-043,,,
Strait of Georgia South,2015-044,,,
Strait of Georgia South,2015-045,,,
Strait of Georgia South,2015-046,,,
Strait of Georgia South,2015-047,,,
Strait of Georgia South,2015-048,,,
Strait of Georgia South,2015-049,,,
Strait of Georgia South,2015-050,,,
Strait of Georgia South,2015-051,,,
Strait of Georgia South,2015-052,,,
Strait of Georgia South,2015-053,0.557,1.3,6
Strait of Georgia South,2015-054,,,
Strait of Georgia South,2015-055,,,
Strait of Georgia South,2015-056,,,
Strait of Georgia South,2015-057,,,
Strait of Georgia South,2015-058,,,
Strait of Georgia South,2015-059,5.35,0.48,1
Strait of Georgia South,2015-060,0.394,0.764,5
Strait of Georgia South,2015-061,,,
Strait of Georgia South,2015-062,,,
Strait of Georgia South,2015-063,,,
Strait of Georgia South,2015-064,,,
Strait of Georgia South,2015-065,,,
Strait of Georgia South,2015-066,,,
Strait of Georgia South,2015-067,,,
Strait of Georgia South,2015-068,,,
Strait of Georgia South,2015-069,,,
Strait of Georgia South,2015-070,,,
Strait of Georgia South,2015-071,,,
Strait of Georgia South,2015-072,,,
Strait of Georgia South,2015-073,,,
Strait of Georgia South,2015-074,,,
Strait of Georgia South,2015-075,,,
Strait of Georgia South,2015-076,,,
Strait of Georgia South,2015-077,,,
Strait of Georgia South,2015-078,,,
Strait of Georgia South,2015-079,,,
Strait of Georgia South,2015-080,,,
Strait of Georgia South,2015-081,,,
Strait of Georgia South,2015-082,,,
Strait of Georgia South,2015-083,,,
Strait of Georgia South,2015-084,,,
Strait of Georgia South,2015-085,,,
Strait of Georgia South,2015-086,0.637,1.924,7
Strait of Georgia South,2015-087,,,
Strait of Georgia South,2015-088,,,
Strait of Georgia South,2015-089,,,
Strait of Georgia South,2015-090,,,
Strait of Georgia South,2015-091,0,4.42,1
Strait of Georgia South,2015-092,2.165,1.328,4
Strait of Georgia South,2015-093,1.5,1.73,1
Strait of Georgia South,2015-094,,,
Strait of Georgia South,2015-095,,,
Strait of Georgia South,2015-096,,,
Strait of Georgia South,2015-097,,,
Strait of Georgia South,2015-098,,,
Strait of Georgia South,2015-099,,,
Strait of Georgia South,2015-100,,,
Strait of Georgia South,2015-101,,,
Strait of Georgia South,2015-102,,,
Strait of Georgia South,2015-103,,,
Strait of Georgia South,2015-104,,,
Strait of Georgia South,2015-105,,,
Strait of Georgia South,2015-106,,,
Strait of Georgia South,2015-107,,,
Strait of Georgia South,2015-108,,,
Strait of Georgia South,2015-109,,,
Strait of Georgia South,2015-110,,,
Strait of Georgia South,2015-111,,,
Strait of Georgia South,2015-112,,,
Strait of Georgia South,2015-113,,,
Strait of Georgia South,2015-114,,,
Strait of Georgia South,2015-115,,,
Strait of Georgia South,2015-116,,,
Strait of Georgia South,2015-117,,,
Strait of Georgia South,2015-118,,,
Strait of Georgia South,2015-119,,,
Strait of Georgia South,2015-120,,,
Strait of Georgia South,2015-121,,,
Strait of Georgia South,2015-122,,,
Strait of Georgia South,2016-001,,,
Strait of Georgia South,2016-002,,,
Strait of Georgia South,2016-003,,,
Strait of Georgia South,2016-004,,,
Strait of Georgia South,2016-005,,,
Strait of Georgia South,2016-006,,,
Strait of Georgia South,2016-007,,,
Strait of Georgia South,2016-008,,,
Strait of Georgia South,2016-009,,,
Strait of Georgia South,2016-010,,,
Strait of Georgia South,2016-011,,,
Strait of Georgia South,2016-012,,,
Strait of Georgia South,2016-013,,,
Strait of Georgia South,2016-014,,,
Strait of Georgia South,2016-015,,,
Strait of Georgia South,2016-016,,,
Strait of Georgia South,2016-017,,,
Strait of Georgia South,2016-018,,,
Strait of Georgia South,2016-019,,,
Strait of Georgia South,2016-020,,,
Strait of Georgia South,2016-021,,,
Strait of Georgia South,2016-022,,,
Strait of Georgia South,2016-023,,,
Strait of Georgia South,2016-024,,,
Strait of Georgia South,2016-025,,,
Strait of Georgia South,2016-026,,,
Strait of Georgia South,2016-027,,,
Strait of Georgia South,2016-028,,,
Strait of Georgia South,2016-029,,,
Strait of Georgia South,2016-030,,,
Strait of Georgia South,2016-031,,,
Strait of Georgia South,2016-032,,,
Strait of Georgia South,2016-033,,,
Strait of Georgia South,2016-034,,,
Strait of Georgia South,2016-035,,,
Strait of Georgia South,2016-036,,,
Strait of Georgia South,2016-037,,,
Strait of Georgia South,2016-038,14.27,0.77,1
Strait of Georgia South,2016-039,1.796,0.333,7
Strait of Georgia South,2016-040,,,
Strait of Georgia South,2016-041,,,
Strait of Georgia South,2016-042,,,
Strait of Georgia South,2016-043,,,
Strait of Georgia South,2016-044,,,
Strait of Georgia South,2016-045,,,
Strait of Georgia South,2016-046,,,
Strait of Georgia South,2016-047,,,
Strait of Georgia South,2016-048,,,
Strait of Georgia South,2016-049,,,
Strait of Georgia South,2016-050,,,
Strait of Georgia South,2016-051,,,
Strait of Georgia South,2016-052,1.696,0.413,7
Strait of Georgia South,2016-053,,,
Strait of Georgia South,2016-054,,,
Strait of Georgia South,2016-055,,,
Strait of Georgia South,2016-056,0.9,1.32,1
Strait of Georgia South,2016-057,1.032,1.144,5
Strait of Georgia South,2016-058,2.95,4.09,1
Strait of Georgia South,2016-059,,,
Strait of Georgia South,2016-060,,,
Strait of Georgia South,2016-061,,,
Strait of Georgia South,2016-062,,,
Strait of Georgia South,2016-063,,,
Strait of Georgia South,2016-064,,,
Strait of Georgia South,2016-065,,,
Strait of Georgia South,2016-066,,,
Strait of Georgia South,2016-067,,,
Strait of Georgia South,2016-068,,,
Strait of Georgia South,2016-069,,,
Strait of Georgia South,2016-070,,,
Strait of Georgia South,2016-071,,,
Strait of Georgia South,2016-072,,,
Strait of Georgia South,2016-073,,,
Strait of Georgia South,2016-074,,,
Strait of Georgia South,2016-075,,,
Strait of Georgia South,2016-076,,,
Strait of Georgia South,2016-077,,,
Strait of Georgia South,2016-078,,,
Strait of Georgia South,2016-079,,,
Strait of Georgia South,2016-080,,,
Strait of Georgia South,2016-081,,,
Strait of Georgia South,2016-082,,,
Strait of Georgia South,2016-083,,,
Strait of Georgia South,2016-084,,,
Strait of Georgia South,2016-085,0.11,2.545,4
Strait of Georgia South,2016-086,0,3.607,3
Strait of Georgia South,2016-087,,,
Strait of Georgia South,2016-088,,,
Strait of Georgia South,2016-089,3.095,1.625,2
Strait of Georgia South,2016-090,0.515,3.159,8
Strait of Georgia South,2016-091,,,
Strait of Georgia South,2016-092,,,
Strait of Georgia South,2016-093,,,
Strait of Georgia South,2016-094,,,
Strait of Georgia South,2016-095,,,
Strait of Georgia South,2016-096,,,
Strait of Georgia South,2016-097,,,
Strait of Georgia South,2016-098,,,
Strait of Georgia South,2016-099,,,
Strait of Georgia South,2016-100,,,
Strait of Georgia South,2016-101,,,
Strait of Georgia South,2016-102,0.037,1.423,3
Strait of Georgia South,2016-103,0.088,0.532,5
Strait of Georgia South,2016-104,,,
Strait of Georgia South,2016-105,,,
Strait of Georgia South,2016-106,,,
Strait of Georgia South,2016-107,,,
Strait of Georgia South,2016-108,,,
Strait of Georgia South,2016-109,,,
Strait of Georgia South,2016-110,,,
Strait of Georgia South,2016-111,,,
Strait of Georgia South,2016-112,,,
Strait of Georgia South,2016-113,,,
Strait of Georgia South,2016-114,,,
Strait of Georgia South,2016-115,,,
Strait of Georgia South,2016-116,,,
Strait of Georgia South,2016-117,,,
Strait of Georgia South,2016-118,,,
Strait of Georgia South,2016-119,,,
Strait of Georgia South,2016-120,,,
Strait of Georgia South,2016-121,,,
Strait of Georgia South,2016-122,,,
Strait of Georgia South,2017-001,,,
Strait of Georgia South,2017-002,,,
Strait of Georgia South,2017-003,,,
Strait of Georgia South,2017-004,,,
Strait of Georgia South,2017-005,,,
Strait of Georgia South,2017-006,,,
Strait of Georgia South,2017-007,,,
Strait of Georgia South,2017-008,,,
